op_id,op_name,op_ssn,op_salary,op_cc
OP_1,Todd Vargas,109504585,32689.15,CC_71
OP_2,Melinda Ibarra,230862090,41227.76,CC_363
OP_3,Megan Figueroa,782650115,37682.83,CC_254
OP_4,Jennifer Shields,265220904,35955.96,CC_134
OP_5,Anthony Barnes,144422394,38392.37,CC_465
OP_6,Nicholas King,566969284,36326.74,CC_494
OP_7,Nicole Horton,531113815,32135.01,CC_490
OP_8,Dennis Taylor,276384178,38216.53,CC_40
OP_9,Taylor Small,615165059,39787.07,CC_343
OP_10,Michael Spencer,416941401,38495.01,CC_404
OP_11,Kayla Holland,749178601,43915.94,CC_117
OP_12,Reginald Haley,527461255,35310.83,CC_488
OP_13,Dr. Michael Fox,620506694,44151.52,CC_432
OP_14,Kayla Jones,454203814,37307.81,CC_62
OP_15,Angel Phillips,047351910,34645.58,CC_398
OP_16,Joseph Matthews,433725627,45388.5,CC_255
OP_17,Justin Powers,587808181,34992.73,CC_107
OP_18,Matthew Smith,615797997,34989.48,CC_474
OP_19,Megan Moreno,151770412,44482.3,CC_105
OP_20,Heather Bailey,473874058,43706.39,CC_480
OP_21,Duane Holloway,790219155,33246.55,CC_64
OP_22,Todd Jones,770044567,44649.95,CC_78
OP_23,Christy Nixon,669759589,35827.91,CC_297
OP_24,Johnny Allen,804570566,45412.32,CC_152
OP_25,Vincent Foley,657657456,43325.88,CC_103
OP_26,Stephen Day,061782247,33501.64,CC_47
OP_27,Tiffany Sloan,730659767,33518.47,CC_140
OP_28,Tina Wilson,844491079,42645.85,CC_156
OP_29,Jeremy Glover,079128291,36142.18,CC_319
OP_30,Benjamin Clark,370937108,34022.98,CC_65
OP_31,Emily Larson,597763752,45338.56,CC_338
OP_32,William Fowler,302859464,45834.68,CC_49
OP_33,Susan Wilson,608780932,38958.62,CC_488
OP_34,Jamie Jacobson,716135142,41506.78,CC_236
OP_35,Jordan Meyer,861565182,32023.75,CC_161
OP_36,Lindsey Kelly,060820180,43482.71,CC_157
OP_37,Courtney Mccoy,061084313,35070.57,CC_7
OP_38,Brett Valentine,142355951,43504.99,CC_74
OP_39,Tiffany Kelley,514138508,34588.66,CC_97
OP_40,Olivia Keller,460747460,45067.1,CC_29
OP_41,Julie Lewis,305911380,36969.99,CC_20
OP_42,Sharon Nelson,135910541,40023.15,CC_123
OP_43,Michael Smith,625380874,35481.44,CC_139
OP_44,Heather Hall,166734836,41218.74,CC_273
OP_45,Kenneth Stephens,816852740,43289.41,CC_160
OP_46,Kevin Powers,430309018,45500.2,CC_428
OP_47,Denise Hanson,182455790,34663.72,CC_492
OP_48,Anthony Freeman,897784197,39143.71,CC_403
OP_49,Melinda York,600166538,40809.9,CC_155
OP_50,Anna Bass,119214039,35073.8,CC_192
OP_51,Elizabeth Morris,023090955,45409.1,CC_488
OP_52,Scott Ellis PhD,163960410,34196.53,CC_216
OP_53,Anna Robinson,571026289,45824.18,CC_366
OP_54,Lori Cook,859075922,45738.29,CC_374
OP_55,Jasmin Blake,520748843,39244.47,CC_451
OP_56,Peter Hall,152822519,39007.49,CC_345
OP_57,Paul Erickson,284550544,34484.48,CC_304
OP_58,Nicholas Williams,808786076,46915.88,CC_106
OP_59,Crystal Webster,213263005,46229.01,CC_9
OP_60,Ryan Wilson,433327055,39570.17,CC_101
OP_61,Tiffany Barnes,690314847,41849.22,CC_228
OP_62,Kimberly Bishop,867163591,37148.41,CC_397
OP_63,Stephanie Yoder,170055659,40703.47,CC_408
OP_64,Anna Cantu,611026263,34673.57,CC_46
OP_65,Connor Davis,048690165,46055.51,CC_410
OP_66,Jillian Riddle,515892548,38054.89,CC_229
OP_67,Olivia Jones,493698510,46714.42,CC_356
OP_68,Brianna Barber,861599122,46542.92,CC_279
OP_69,Justin Downs,886845825,35480.11,CC_287
OP_70,Katrina Wilson MD,691315654,33856.17,CC_49
OP_71,Kevin Brown,895796164,46872.64,CC_46
OP_72,Cheryl Tanner,305244828,37608.64,CC_472
OP_73,Tammy Chavez,847126116,38552.7,CC_31
OP_74,Benjamin Padilla,391636358,40952.03,CC_251
OP_75,Leah Francis,163548672,45016.74,CC_487
OP_76,Sheila Mcdonald,446390126,40655.0,CC_401
OP_77,Julie Manning,091638327,33151.61,CC_420
OP_78,Kim Miller,388506276,41577.24,CC_124
OP_79,Stephanie Parker,271394979,42536.64,CC_421
OP_80,Victoria Aguilar,680968781,42567.01,CC_59
OP_81,Jessica Anthony,163334115,44415.85,CC_458
OP_82,Chad Harris,244914215,45717.67,CC_114
OP_83,Kathy Cook,117273312,44467.09,CC_210
OP_84,Briana Parker,536135317,46814.75,CC_253
OP_85,Robert Hunt,738656932,33477.72,CC_261
OP_86,Zachary Hutchinson,521834581,35841.11,CC_346
OP_87,Carlos Garrett,877246629,34942.09,CC_305
OP_88,Michael Bishop,551079801,36266.99,CC_249
OP_89,Jordan George,371554088,37811.19,CC_459
OP_90,Stephanie Lee MD,290360253,33391.37,CC_190
OP_91,John Lane,329413155,44160.63,CC_333
OP_92,Jeremy Crawford,811939412,38165.36,CC_319
OP_93,Richard Romero,147915700,41654.41,CC_141
OP_94,Mark Yoder,250912829,33020.22,CC_438
OP_95,Mary Lyons,126584257,42513.39,CC_386
OP_96,Heather Andersen,440862857,42418.96,CC_237
OP_97,James Jackson,084324933,41473.46,CC_421
OP_98,Bradley Merritt,339251438,32843.28,CC_76
OP_99,Tanya Pitts,775041051,35260.55,CC_11
OP_100,Bryce Beck,197997849,36450.73,CC_100
OP_101,Mark Clark,677651911,38748.37,CC_44
OP_102,John Garner,705424296,46916.01,CC_146
OP_103,Erin Parsons,742860650,39517.48,CC_75
OP_104,Joshua Anderson,344526001,36477.66,CC_485
OP_105,Mackenzie Whitehead DDS,751762885,39855.71,CC_348
OP_106,Jessica Black,494048534,42989.52,CC_234
OP_107,Brianna Clark,053405280,39754.22,CC_120
OP_108,Leslie Huff,592126619,39792.26,CC_122
OP_109,Mary Hill,778823547,34748.94,CC_76
OP_110,Brandon Greene,609229774,40936.22,CC_32
OP_111,Nicholas Gentry,355627524,41373.51,CC_267
OP_112,Tracy Walker,056782292,45927.17,CC_328
OP_113,Hannah Flowers DDS,668793872,35624.36,CC_364
OP_114,Samantha Huffman,755329835,37728.33,CC_255
OP_115,Brittany Dickerson,054379023,40684.31,CC_463
OP_116,Benjamin Lopez,382015338,41617.1,CC_19
OP_117,Jim Brown,226790430,41459.35,CC_47
OP_118,Stephanie Johnson,078182701,46372.32,CC_252
OP_119,Kathleen Harris,613535968,46471.01,CC_162
OP_120,Juan Coleman,300941078,42016.87,CC_272
OP_121,John Yates,318219685,37129.79,CC_230
OP_122,Mason Castillo,332746595,46161.64,CC_266
OP_123,Alexandria Harris,248565810,39093.75,CC_163
OP_124,Ryan Pruitt,586239822,45259.77,CC_155
OP_125,Jeffrey Clark,521081326,46641.78,CC_232
OP_126,Becky Waller,895934083,38129.58,CC_143
OP_127,Clinton Miller,568792500,38501.66,CC_375
OP_128,Donna Pierce,872824372,45805.06,CC_356
OP_129,Michelle Miller,657328406,33344.85,CC_167
OP_130,Walter Brown,837349061,44347.76,CC_58
OP_131,Michael Walker,431161800,44571.45,CC_298
OP_132,Troy Logan,312229601,43896.85,CC_282
OP_133,Alfred Scott,377238202,42889.08,CC_371
OP_134,Mary Green,755669525,44125.26,CC_285
OP_135,Felicia Booker,741944288,43222.9,CC_151
OP_136,Kyle Kerr,673780574,38312.53,CC_33
OP_137,Jenna Harris,343353133,38039.18,CC_217
OP_138,Mrs. Maria Rodriguez MD,885882516,38092.77,CC_442
OP_139,Michael Skinner,351644359,45353.83,CC_108
OP_140,Richard Ferguson,650356847,42443.03,CC_319
OP_141,Cory Davis,474409910,44887.08,CC_290
OP_142,Mrs. Sara Walker,551236296,41021.25,CC_292
OP_143,Jesus Delgado,151108105,32598.0,CC_428
OP_144,Wayne Nguyen,503861486,36408.79,CC_409
OP_145,Michael Cole,751033751,45290.31,CC_62
OP_146,Michael Velasquez,558244559,40823.35,CC_277
OP_147,Kayla Dunn,310181367,39967.31,CC_379
OP_148,Greg Herrera,456164067,40366.85,CC_391
OP_149,Taylor Ramos,414926528,41262.25,CC_434
OP_150,Jason Turner,560353434,38061.36,CC_17
OP_151,Melvin Martinez,317506708,42686.14,CC_430
OP_152,Ashley Gonzalez,829875276,34317.55,CC_22
OP_153,Stephanie Ryan,475072076,33001.43,CC_482
OP_154,Christopher Watson,053898873,34231.77,CC_6
OP_155,Bethany Watson,719836082,43276.11,CC_118
OP_156,Eric Martin,291411903,35821.91,CC_107
OP_157,Patricia House,132410812,44439.77,CC_31
OP_158,Dan Nelson,801779956,44590.97,CC_228
OP_159,Robert Gibson,570858315,45233.22,CC_348
OP_160,Michael Johnson,459999696,33259.46,CC_294
OP_161,Kevin Solomon,389619132,43265.29,CC_454
OP_162,Edward Wright,876291240,46794.73,CC_113
OP_163,Shane Lee,525461862,33679.35,CC_268
OP_164,Jonathan Robertson,682471663,43316.46,CC_366
OP_165,Chad Cochran,613033088,44016.75,CC_16
OP_166,Karen Smith,389164348,34562.13,CC_121
OP_167,Michael Quinn,069178507,44374.33,CC_322
OP_168,Tonya Holmes DDS,565640623,36377.66,CC_153
OP_169,John Griffith,498423412,33406.01,CC_322
OP_170,Kimberly Estrada,577700286,36841.33,CC_171
OP_171,Katrina Taylor,203349533,37013.67,CC_201
OP_172,Melanie Cardenas,795685233,39758.71,CC_59
OP_173,Cynthia Morris,376821537,43046.32,CC_325
OP_174,Tiffany Fox,048041639,45982.16,CC_220
OP_175,April Boyd,648828367,46558.94,CC_279
OP_176,Kara Smith,131920788,33189.81,CC_110
OP_177,Joseph Baldwin,716079148,41410.14,CC_32
OP_178,Brandon Carroll,353651425,39935.0,CC_285
OP_179,Dylan Smith,643326732,36987.32,CC_313
OP_180,Zoe Gilmore,865547793,40880.12,CC_143
OP_181,Kathy Hill,397889620,44642.41,CC_336
OP_182,Patricia Cabrera,789969942,43338.2,CC_196
OP_183,Betty Chen,565649439,40264.07,CC_234
OP_184,Zachary Page,539112819,37393.73,CC_325
OP_185,Janice Smith,427052691,34830.53,CC_434
